,order_id,product_id,store_id,product_name,product_category,city,date_of_sale,quantity_sold,sales_amount,month,year
104,105,33,2,BinaryBard,Software Development Tools,Osaka,2022-02-22,5,205.27,2,2022
105,106,10,2,CircuitScribe,Creative & Design Tools,Osaka,2022-02-22,5,444.36,2,2022
106,107,1,1,CodeNest IDE,Software Development Tools,Tokyo,2022-02-23,4,311.72,2,2022
107,108,52,3,CodeComet,Software Development Tools,Yokohama,2022-02-23,3,256.51,2,2022
108,109,80,3,FlowFleet,Technology & Gadgets,Yokohama,2022-02-24,2,23.07,2,2022
109,110,32,3,CodeCruise,Software Development Tools,Yokohama,2022-02-24,4,291.94,2,2022
110,111,50,3,MethodMajesty,Educational Tools,Yokohama,2022-02-25,1,234.53,2,2022
111,112,51,3,FlowFusion,Technology & Gadgets,Yokohama,2022-02-25,5,316.66,2,2022
112,113,65,1,SyntaxSeeker,Software Development Tools,Tokyo,2022-02-26,8,453.5,2,2022
113,114,44,1,SyntaxStar,Software Development Tools,Tokyo,2022-02-26,2,29.17,2,2022
114,115,35,3,StringStream,Software Development Tools,Yokohama,2022-02-27,1,331.24,2,2022
115,116,93,2,DataDream Pro,Data Analysis & Management,Osaka,2022-02-27,2,137.77,2,2022
116,117,75,1,VarVoyager,Educational Tools,Tokyo,2022-02-28,8,370.11,2,2022
117,118,7,2,LogicLoom,Software Development Tools,Osaka,2022-02-28,5,180.69,2,2022
118,119,21,1,LambdaLuxe,Educational Tools,Tokyo,2022-03-01,9,278.47,3,2022
119,120,73,3,DevDrift,Software Development Tools,Yokohama,2022-03-01,1,368.43,3,2022
120,121,24,3,CodeCanvas,Software Development Tools,Yokohama,2022-03-02,5,126.95,3,2022
121,122,36,2,ModuleMajesty,Technology & Gadgets,Osaka,2022-03-02,1,390.35,3,2022
122,123,55,1,VarVenture,Educational Tools,Tokyo,2022-03-03,7,379.64,3,2022
123,124,30,1,SyntaxSail,Software Development Tools,Tokyo,2022-03-03,1,257.55,3,2022
124,125,89,2,StringStream Pro,Software Development Tools,Osaka,2022-03-04,3,200.71,3,2022
125,126,12,1,BitBard,Software Development Tools,Tokyo,2022-03-04,9,425.0,3,2022
126,127,9,3,DevDive,Software Development Tools,Yokohama,2022-03-05,4,290.94,3,2022
127,128,16,1,StringScribe,Software Development Tools,Tokyo,2022-03-05,5,153.7,3,2022
128,129,25,3,LogicLantern,Software Development Tools,Yokohama,2022-03-06,5,378.58,3,2022
129,130,23,1,BinaryBloom,Creative & Design Tools,Tokyo,2022-03-06,7,54.76,3,2022
130,131,42,2,FlowFlare,Technology & Gadgets,Osaka,2022-03-07,7,497.87,3,2022
131,132,5,3,SyntaxSage,Software Development Tools,Yokohama,2022-03-07,7,277.46,3,2022
132,133,75,2,VarVoyager,Educational Tools,Osaka,2022-03-08,9,383.06,3,2022
133,134,17,1,DataDrift,Data Analysis & Management,Tokyo,2022-03-08,6,51.28,3,2022
134,135,66,1,ModuleMuse Pro,Creative & Design Tools,Tokyo,2022-03-09,5,124.32,3,2022
135,136,13,2,ModuleMuse,Creative & Design Tools,Osaka,2022-03-09,9,412.61,3,2022
136,137,8,1,FlowForge,Technology & Gadgets,Tokyo,2022-03-10,1,441.26,3,2022
137,138,17,3,DataDrift,Data Analysis & Management,Yokohama,2022-03-10,7,493.0,3,2022
138,139,4,2,ByteBreeze,Creative & Design Tools,Osaka,2022-03-11,3,390.71,3,2022
139,140,54,3,CircuitCanvas,Creative & Design Tools,Yokohama,2022-03-11,3,64.55,3,2022
140,141,67,1,EchoEssence,Technology & Gadgets,Tokyo,2022-03-12,2,239.63,3,2022
141,142,58,1,DevDynamo,Software Development Tools,Tokyo,2022-03-12,9,374.58,3,2022
142,143,3,1,AlgoCraft,Creative & Design Tools,Tokyo,2022-03-13,9,193.69,3,2022
143,144,25,1,LogicLantern,Software Development Tools,Tokyo,2022-03-13,6,223.79,3,2022
144,145,85,3,CircuitCraft,Creative & Design Tools,Yokohama,2022-03-14,5,134.0,3,2022
145,146,58,1,DevDynamo,Software Development Tools,Tokyo,2022-03-14,5,31.35,3,2022
146,147,19,1,MethodMingle,Educational Tools,Tokyo,2022-03-15,2,91.5,3,2022
147,148,49,2,StringSage,Software Development Tools,Osaka,2022-03-15,1,317.45,3,2022
148,149,3,3,AlgoCraft,Creative & Design Tools,Yokohama,2022-03-16,9,458.35,3,2022
149,150,74,2,DataDive,Data Analysis & Management,Osaka,2022-03-16,8,313.81,3,2022
150,151,8,2,FlowForge,Technology & Gadgets,Osaka,2022-03-17,4,237.2,3,2022
151,152,58,2,DevDynamo,Software Development Tools,Osaka,2022-03-17,5,487.32,3,2022
152,153,73,1,DevDrift,Software Development Tools,Tokyo,2022-03-18,5,408.66,3,2022
153,154,64,3,LogicLark,Software Development Tools,Yokohama,2022-03-18,6,25.92,3,2022
154,155,92,1,EchoElite Pro,Technology & Gadgets,Tokyo,2022-03-19,3,412.94,3,2022
155,156,82,3,LoopLyric,Creative & Design Tools,Yokohama,2022-03-19,5,310.52,3,2022
156,157,66,2,ModuleMuse Pro,Creative & Design Tools,Osaka,2022-03-20,8,439.45,3,2022
157,158,5,3,SyntaxSage,Software Development Tools,Yokohama,2022-03-20,8,194.47,3,2022
158,159,65,2,SyntaxSeeker,Software Development Tools,Osaka,2022-03-21,1,194.61,3,2022
159,160,26,3,AlgoAria,Technology & Gadgets,Yokohama,2022-03-21,9,485.12,3,2022
160,161,27,1,ScriptSeeker,Software Development Tools,Tokyo,2022-03-22,1,239.64,3,2022
161,162,99,3,PixelPioneer Pro,Creative & Design Tools,Yokohama,2022-03-22,1,16.79,3,2022
162,163,5,2,SyntaxSage,Software Development Tools,Osaka,2022-03-23,3,282.12,3,2022
163,164,55,2,VarVenture,Educational Tools,Osaka,2022-03-23,1,271.8,3,2022
164,165,53,1,BinaryBlaze,Technology & Gadgets,Tokyo,2022-03-24,3,131.23,3,2022
165,166,78,1,AlgoAir,Technology & Gadgets,Tokyo,2022-03-24,1,477.36,3,2022
166,167,77,2,PixelPilot Plus,Creative & Design Tools,Osaka,2022-03-25,1,339.07,3,2022
167,168,32,2,CodeCruise,Software Development Tools,Osaka,2022-03-25,8,20.96,3,2022
168,169,34,2,LoopLuxe,Creative & Design Tools,Osaka,2022-03-26,6,417.27,3,2022
169,170,50,1,MethodMajesty,Educational Tools,Tokyo,2022-03-26,6,484.17,3,2022
170,171,94,2,SyntaxStar Plus,Software Development Tools,Osaka,2022-03-27,9,299.03,3,2022
171,172,47,3,PixelPulse Pro,Creative & Design Tools,Yokohama,2022-03-27,5,313.9,3,2022
172,173,66,3,ModuleMuse Pro,Creative & Design Tools,Yokohama,2022-03-28,3,452.43,3,2022
173,174,64,2,LogicLark,Software Development Tools,Osaka,2022-03-28,6,307.91,3,2022
174,175,52,1,CodeComet,Software Development Tools,Tokyo,2022-03-29,6,230.93,3,2022
175,176,82,2,LoopLyric,Creative & Design Tools,Osaka,2022-03-29,3,452.92,3,2022
176,177,79,2,ClassCruise,Educational Tools,Osaka,2022-03-30,7,266.53,3,2022
177,178,81,1,EchoEngine Pro,Technology & Gadgets,Tokyo,2022-03-30,4,235.06,3,2022
178,179,17,2,DataDrift,Data Analysis & Management,Osaka,2022-03-31,1,136.57,3,2022
179,180,88,1,VarVista Pro,Educational Tools,Tokyo,2022-03-31,2,314.14,3,2022
180,181,66,1,ModuleMuse Pro,Creative & Design Tools,Tokyo,2022-04-01,3,273.23,4,2022
181,182,23,3,BinaryBloom,Creative & Design Tools,Yokohama,2022-04-01,6,351.79,4,2022
182,183,4,1,ByteBreeze,Creative & Design Tools,Tokyo,2022-04-02,3,438.3,4,2022
183,184,27,1,ScriptSeeker,Software Development Tools,Tokyo,2022-04-02,2,304.9,4,2022
184,185,92,2,EchoElite Pro,Technology & Gadgets,Osaka,2022-04-03,6,53.53,4,2022
185,186,51,3,FlowFusion,Technology & Gadgets,Yokohama,2022-04-03,5,92.83,4,2022
186,187,1,1,CodeNest IDE,Software Development Tools,Tokyo,2022-04-04,9,184.44,4,2022
187,188,46,2,AlgoAtlas,Data Analysis & Management,Osaka,2022-04-04,1,256.65,4,2022
188,189,45,3,EchoElite,Technology & Gadgets,Yokohama,2022-04-05,9,55.29,4,2022
189,190,47,1,PixelPulse Pro,Creative & Design Tools,Tokyo,2022-04-05,6,50.13,4,2022
190,191,94,3,SyntaxStar Plus,Software Development Tools,Yokohama,2022-04-06,1,145.7,4,2022
191,192,1,1,CodeNest IDE,Software Development Tools,Tokyo,2022-04-06,3,100.46,4,2022
192,193,79,3,ClassCruise,Educational Tools,Yokohama,2022-04-07,8,247.39,4,2022
193,194,90,3,ModuleMagic,Technology & Gadgets,Yokohama,2022-04-07,8,362.98,4,2022
194,195,3,3,AlgoCraft,Creative & Design Tools,Yokohama,2022-04-08,7,260.69,4,2022
195,196,26,2,AlgoAria,Technology & Gadgets,Osaka,2022-04-08,8,75.29,4,2022
196,197,15,1,LoopLark,Creative & Design Tools,Tokyo,2022-04-09,7,194.87,4,2022
197,198,18,2,PixelPulse,Creative & Design Tools,Osaka,2022-04-09,6,270.95,4,2022
198,199,74,3,DataDive,Data Analysis & Management,Yokohama,2022-04-10,9,421.84,4,2022
199,200,86,2,CodeCatalyst,Software Development Tools,Osaka,2022-04-10,9,446.24,4,2022
200,201,18,3,PixelPulse,Creative & Design Tools,Yokohama,2022-04-11,4,273.15,4,2022
201,202,84,1,MethodMajesty Pro,Educational Tools,Tokyo,2022-04-11,4,184.01,4,2022
202,203,83,2,SyntaxScribe,Software Development Tools,Osaka,2022-04-12,9,175.36,4,2022
203,204,34,3,LoopLuxe,Creative & Design Tools,Yokohama,2022-04-12,8,297.36,4,2022
204,205,52,2,CodeComet,Software Development Tools,Osaka,2022-04-13,2,129.77,4,2022
205,206,59,1,AlgoAurora,Creative & Design Tools,Tokyo,2022-04-13,6,306.78,4,2022
206,207,70,3,CodeCove,Software Development Tools,Yokohama,2022-04-14,4,426.79,4,2022
207,208,33,1,BinaryBard,Software Development Tools,Tokyo,2022-04-14,6,120.45,4,2022
208,209,3,3,AlgoCraft,Creative & Design Tools,Yokohama,2022-04-15,8,351.44,4,2022
209,210,62,2,MethodMingle Pro,Educational Tools,Osaka,2022-04-15,8,449.3,4,2022
210,211,92,3,EchoElite Pro,Technology & Gadgets,Yokohama,2022-04-16,4,12.69,4,2022
211,212,24,3,CodeCanvas,Software Development Tools,Yokohama,2022-04-16,6,204.95,4,2022
212,213,94,2,SyntaxStar Plus,Software Development Tools,Osaka,2022-04-17,3,412.12,4,2022
213,214,66,3,ModuleMuse Pro,Creative & Design Tools,Yokohama,2022-04-17,8,243.52,4,2022
214,215,45,1,EchoElite,Technology & Gadgets,Tokyo,2022-04-18,6,484.18,4,2022
215,216,68,3,FunctionFusion Pro,Software Development Tools,Yokohama,2022-04-18,4,258.7,4,2022
216,217,12,3,BitBard,Software Development Tools,Yokohama,2022-04-19,1,309.15,4,2022
217,218,64,2,LogicLark,Software Development Tools,Osaka,2022-04-19,5,257.96,4,2022
218,219,100,1,LogicLyric,Software Development Tools,Tokyo,2022-04-20,3,35.47,4,2022
219,220,50,2,MethodMajesty,Educational Tools,Osaka,2022-04-20,5,41.13,4,2022
220,221,44,2,SyntaxStar,Software Development Tools,Osaka,2022-04-21,8,406.74,4,2022
221,222,65,3,SyntaxSeeker,Software Development Tools,Yokohama,2022-04-21,5,11.42,4,2022
222,223,9,3,DevDive,Software Development Tools,Yokohama,2022-04-22,8,306.94,4,2022
223,224,35,2,StringStream,Software Development Tools,Osaka,2022-04-22,1,426.75,4,2022
224,225,9,2,DevDive,Software Development Tools,Osaka,2022-04-23,3,42.66,4,2022
225,226,60,2,LoopLantern,Creative & Design Tools,Osaka,2022-04-23,5,368.05,4,2022
226,227,40,2,LambdaLark,Educational Tools,Osaka,2022-04-24,8,415.59,4,2022
227,228,14,2,ClassCast,Educational Tools,Osaka,2022-04-24,3,90.54,4,2022
228,229,5,3,SyntaxSage,Software Development Tools,Yokohama,2022-04-25,4,164.95,4,2022
229,230,42,1,FlowFlare,Technology & Gadgets,Tokyo,2022-04-25,2,410.04,4,2022
230,231,97,3,AlgoAria Pro,Technology & Gadgets,Yokohama,2022-04-26,1,123.82,4,2022
231,232,39,2,BitBreeze,Creative & Design Tools,Osaka,2022-04-26,3,315.76,4,2022
232,233,53,3,BinaryBlaze,Technology & Gadgets,Yokohama,2022-04-27,7,67.34,4,2022
233,234,97,3,AlgoAria Pro,Technology & Gadgets,Yokohama,2022-04-27,7,270.58,4,2022
234,235,6,3,PixelPilot,Creative & Design Tools,Yokohama,2022-04-28,7,367.89,4,2022
235,236,42,3,FlowFlare,Technology & Gadgets,Yokohama,2022-04-28,1,271.36,4,2022
236,237,27,3,ScriptSeeker,Software Development Tools,Yokohama,2022-04-29,1,26.51,4,2022
237,238,27,1,ScriptSeeker,Software Development Tools,Tokyo,2022-04-29,6,378.59,4,2022
238,239,97,2,AlgoAria Pro,Technology & Gadgets,Osaka,2022-04-30,6,272.84,4,2022
239,240,86,2,CodeCatalyst,Software Development Tools,Osaka,2022-04-30,5,439.5,4,2022
240,241,47,1,PixelPulse Pro,Creative & Design Tools,Tokyo,2022-05-01,8,305.89,5,2022
241,242,15,1,LoopLark,Creative & Design Tools,Tokyo,2022-05-01,8,83.52,5,2022
242,243,47,1,PixelPulse Pro,Creative & Design Tools,Tokyo,2022-05-02,2,16.07,5,2022
243,244,36,2,ModuleMajesty,Technology & Gadgets,Osaka,2022-05-02,5,415.03,5,2022
244,245,74,2,DataDive,Data Analysis & Management,Osaka,2022-05-03,6,206.41,5,2022
245,246,47,2,PixelPulse Pro,Creative & Design Tools,Osaka,2022-05-03,8,257.86,5,2022
246,247,76,1,BinaryBard Pro,Software Development Tools,Tokyo,2022-05-04,8,21.37,5,2022
247,248,89,1,StringStream Pro,Software Development Tools,Tokyo,2022-05-04,8,437.23,5,2022
248,249,92,3,EchoElite Pro,Technology & Gadgets,Yokohama,2022-05-05,9,217.82,5,2022
249,250,29,2,PixelPioneer,Creative & Design Tools,Osaka,2022-05-05,8,421.71,5,2022
250,251,11,3,FunctionFusion,Software Development Tools,Yokohama,2022-05-06,1,65.55,5,2022
251,252,21,2,LambdaLuxe,Educational Tools,Osaka,2022-05-06,4,71.15,5,2022
252,253,57,1,ByteBliss,Creative & Design Tools,Tokyo,2022-05-07,6,264.2,5,2022
253,254,40,3,LambdaLark,Educational Tools,Yokohama,2022-05-07,5,195.86,5,2022
254,255,53,1,BinaryBlaze,Technology & Gadgets,Tokyo,2022-05-08,4,395.93,5,2022
255,256,26,1,AlgoAria,Technology & Gadgets,Tokyo,2022-05-08,3,205.1,5,2022
256,257,82,3,LoopLyric,Creative & Design Tools,Yokohama,2022-05-09,2,459.92,5,2022
257,258,25,2,LogicLantern,Software Development Tools,Osaka,2022-05-09,6,179.72,5,2022
258,259,43,3,VarVista,Educational Tools,Yokohama,2022-05-10,3,131.66,5,2022
259,260,25,3,LogicLantern,Software Development Tools,Yokohama,2022-05-10,4,215.27,5,2022
260,261,88,1,VarVista Pro,Educational Tools,Tokyo,2022-05-11,1,392.35,5,2022
261,262,22,2,EchoEngine,Technology & Gadgets,Osaka,2022-05-11,2,335.07,5,2022
262,263,71,1,StringStar,Software Development Tools,Tokyo,2022-05-12,4,234.89,5,2022
263,264,20,2,VarVoyage,Educational Tools,Osaka,2022-05-12,6,51.89,5,2022
264,265,61,1,ScriptSage,Software Development Tools,Tokyo,2022-05-13,7,301.69,5,2022
265,266,13,2,ModuleMuse,Creative & Design Tools,Osaka,2022-05-13,7,219.12,5,2022
266,267,56,3,LambdaLyric,Educational Tools,Yokohama,2022-05-14,1,27.99,5,2022
267,268,30,3,SyntaxSail,Software Development Tools,Yokohama,2022-05-14,2,154.1,5,2022
268,269,47,2,PixelPulse Pro,Creative & Design Tools,Osaka,2022-05-15,2,271.85,5,2022
269,270,94,2,SyntaxStar Plus,Software Development Tools,Osaka,2022-05-15,3,86.12,5,2022
270,271,32,2,CodeCruise,Software Development Tools,Osaka,2022-05-16,3,325.5,5,2022
271,272,1,1,CodeNest IDE,Software Development Tools,Tokyo,2022-05-16,7,473.47,5,2022
272,273,97,3,AlgoAria Pro,Technology & Gadgets,Yokohama,2022-05-17,7,86.57,5,2022
273,274,50,3,MethodMajesty,Educational Tools,Yokohama,2022-05-17,8,23.36,5,2022
274,275,67,3,EchoEssence,Technology & Gadgets,Yokohama,2022-05-18,1,282.76,5,2022
275,276,67,3,EchoEssence,Technology & Gadgets,Yokohama,2022-05-18,8,61.08,5,2022
276,277,78,2,AlgoAir,Technology & Gadgets,Osaka,2022-05-19,4,472.63,5,2022
277,278,8,2,FlowForge,Technology & Gadgets,Osaka,2022-05-19,3,129.19,5,2022
278,279,54,1,CircuitCanvas,Creative & Design Tools,Tokyo,2022-05-20,7,449.09,5,2022
279,280,7,2,LogicLoom,Software Development Tools,Osaka,2022-05-20,7,370.51,5,2022
280,281,85,3,CircuitCraft,Creative & Design Tools,Yokohama,2022-05-21,3,295.65,5,2022
281,282,60,2,LoopLantern,Creative & Design Tools,Osaka,2022-05-21,2,456.09,5,2022
282,283,69,3,BitBard Plus,Software Development Tools,Yokohama,2022-05-22,2,187.91,5,2022
283,284,12,1,BitBard,Software Development Tools,Tokyo,2022-05-22,5,210.61,5,2022
284,285,99,2,PixelPioneer Pro,Creative & Design Tools,Osaka,2022-05-23,6,391.99,5,2022
285,286,94,1,SyntaxStar Plus,Software Development Tools,Tokyo,2022-05-23,2,431.82,5,2022
286,287,81,2,EchoEngine Pro,Technology & Gadgets,Osaka,2022-05-24,8,492.69,5,2022
287,288,87,1,DevDynamo Plus,Software Development Tools,Tokyo,2022-05-24,2,21.09,5,2022
